Year,Province,Murder Rate,Poverty Rate (%),Unemployment Rate (%),Income Inequality Index,Education Level (Avg. Years),Literacy Rate (%)
1990,Balochistan,4.2,35,12,0.45,4.2,40
1991,Balochistan,4.6,34,11.5,0.44,4.3,42
1992,Balochistan,5.1,32,11,0.43,4.4,43
1993,Balochistan,5.3,30,10.5,0.41,4.5,45
1994,Balochistan,5.5,28,10,0.4,4.7,46
1995,Balochistan,5.4,27,9.5,0.39,4.9,48
1996,Balochistan,5.1,25,9,0.38,5.1,50
1997,Balochistan,4.9,23,8.5,0.37,5.3,52
1998,Balochistan,4.6,22,8,0.36,5.5,54
1999,Balochistan,4.4,20,7.5,0.35,5.7,56
2000,Balochistan,4.2,18,7,0.34,6,58
2001,Balochistan,4,17,6.5,0.33,6.2,60
2002,Balochistan,3.9,15,6,0.32,6.5,62
2003,Balochistan,3.8,14,5.5,0.31,6.8,64
2004,Balochistan,3.7,13,5,0.3,7,66
2005,Balochistan,3.6,12,4.5,0.29,7.3,68
2006,Balochistan,3.5,11,4,0.28,7.5,70
2007,Balochistan,3.5,10,3.8,0.27,7.7,72
2008,Balochistan,3.4,9,3.5,0.26,7.9,74
2009,Balochistan,3.3,8.5,3.2,0.25,8.1,76
2010,Balochistan,3.2,8,3,0.24,8.3,78
2011,Balochistan,3.1,7.5,2.8,0.23,8.5,80
2012,Balochistan,3,7,2.5,0.22,8.7,82
2013,Balochistan,2.9,6.8,2.3,0.21,8.9,83
2014,Balochistan,2.8,6.5,2,0.2,9,85
2015,Balochistan,2.7,6.2,1.8,0.19,9.2,87
2016,Balochistan,2.6,6,1.5,0.18,9.4,89
2017,Balochistan,2.5,5.8,1.2,0.17,9.6,91
2018,Balochistan,2.4,5.5,1,0.16,9.8,93
2019,Balochistan,2.3,5.3,0.8,0.15,10,95
2020,Balochistan,2.2,5,0.7,0.14,10.2,97
2021,Balochistan,2.1,4.8,0.5,0.13,10.4,98
2022,Balochistan,2,4.5,0.3,0.12,10.6,100
2023,Balochistan,1.9,4.2,0.2,0.11,10.8,102
2024,Balochistan,1.8,4,0.1,0.1,11,103
1990,Khyber Pakhtunkhwa,3.9,33,11,0.42,4.8,52
1991,Khyber Pakhtunkhwa,3.8,32,10.5,0.41,4.9,53
1992,Khyber Pakhtunkhwa,3.7,31,10,0.4,5,54
1993,Khyber Pakhtunkhwa,3.6,30,9.5,0.39,5.1,55
1994,Khyber Pakhtunkhwa,3.5,29,9,0.38,5.3,57
1995,Khyber Pakhtunkhwa,3.4,28,8.8,0.37,5.4,58
1996,Khyber Pakhtunkhwa,3.3,27,8.5,0.36,5.5,60
1997,Khyber Pakhtunkhwa,3.2,26,8.2,0.35,5.7,61
1998,Khyber Pakhtunkhwa,3.1,25,8,0.34,5.8,63
1999,Khyber Pakhtunkhwa,3,23,7.8,0.33,6,64
2000,Khyber Pakhtunkhwa,2.9,22,7.5,0.32,6.2,66
2001,Khyber Pakhtunkhwa,2.8,21,7.2,0.31,6.3,68
1990,Sindh,4.5,31,9,0.48,5.6,58
1991,Sindh,4.4,30,8.7,0.47,5.7,59
1992,Sindh,4.3,29,8.5,0.46,5.9,60
1993,Sindh,4.2,28,8.3,0.45,6,61
1994,Sindh,4.1,27,8.1,0.44,6.1,63
1995,Sindh,4,26,8,0.43,6.2,64
1996,Sindh,3.9,25,7.8,0.42,6.3,65
1997,Sindh,3.8,24,7.6,0.41,6.4,67
1998,Sindh,3.7,23,7.4,0.4,6.5,68
1999,Sindh,3.6,22,7.2,0.39,6.6,69
2000,Sindh,3.5,21,7,0.38,6.7,71
2001,Sindh,3.4,20,6.8,0.37,6.8,72
1990,Punjab,7.5,30,8.5,0.48,4.8,43
1991,Punjab,7.4,29,8.4,0.47,4.9,44
1992,Punjab,7.3,28,8.3,0.46,5,45
1993,Punjab,7.2,27,8.2,0.45,5.1,46
1994,Punjab,7.1,26,8.1,0.44,5.2,47
1995,Punjab,7,25,8,0.43,5.3,48
1996,Punjab,6.9,24,7.9,0.42,5.4,49
1997,Punjab,6.8,23,7.8,0.41,5.5,50
1998,Punjab,6.7,22,7.7,0.4,5.6,51
1999,Punjab,6.6,21,7.6,0.39,5.7,52
2000,Punjab,6.5,20,7.5,0.38,5.8,53
2001,Punjab,6.4,19,7.4,0.37,5.9,54
